Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
דיק טרייסי,Dick Tracy,"Action, Comedy, Crime, Music, Romance, Thriller",1990,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808448f5,https://www.imdb.com/title/tt0099422,תיק מסמכים,17/07/1990,13/08/1990," בקשה לרישיון הצגת הסרט ""דיק טרייסי"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י א. גלעד ושות', תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e44v," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
צמד הבלשים,K-9,"Action, Comedy, Crime",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680830511,https://www.imdb.com/title/tt0097637,תיק מסמכים,12/07/1989,18/07/1989," בקשה לרישיון הצגת הסרט ""צמד הבלשים"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw34," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
ים של אהבה,Sea of Love,"Crime, Drama, Mystery, Romance, Thriller",1989,"United States, Canada",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068084a3aa,https://www.imdb.com/title/tt0098273,תיק מסמכים,12/10/1989,02/11/1989," בקשה לרישיון הצגת הסרט ""ים של אהבה"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e6dd," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
נהג מונית,Taxi Driver,"Crime, Drama",1976,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068083ede3,https://www.imdb.com/title/tt0075314,תיק מסמכים,03/05/1976,17/05/1976," בקשה לרישוי הסרט ""נהג מונית"" (""Taxi Driver""): העלילה , טופס הבקשה, חוות דעת של חברי המועצה, פרוטקול מישיבת המועצה והרישיון שניתן לחברת אלברט ד. מטלון ושות' בע""מ. ",ISA-MOIN-InteriorFilmCensor-000e1v8," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," התפתחות הקולנוע בישראל,צנזורה - כללי ",צנזורה לסרטים ומחזות,,,
כף רגלי השמאלית,My Left Foot: The Story of Christy Brown,"Biography, Drama",1989,"Ireland, United Kingdom",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068085a4a7,https://www.imdb.com/title/tt0097937,תיק מסמכים,25/10/1989,19/02/1990," בקשה לרישיון הצגת הסרט ""כף רגלי השמאלית"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י מפיצי סרטים שבעה כוכבים בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ecr4," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
הזבוב 2,The Fly II,"Drama, Horror, Sci-Fi",1989,"United States, United Kingdom, France",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068045f2ec,https://www.imdb.com/title/tt0097368,תיק מסמכים,22/02/1989,24/03/1989," בקשה לרישיון הצגת הסרט ""הזבוב 2"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-0003074," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
מסעו של גרינגו,Old Gringo,"Adventure, History, Romance",1989,"United States, Mexico",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842f17,https://www.imdb.com/title/tt0098022,תיק מסמכים,27/06/1989,02/11/1989," בקשה לרישיון הצגת הסרט ""מסעו של גרינגו"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3hu," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
שכחו אותי בבית,Home Alone,"Comedy, Family",1990,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068086768f,https://www.imdb.com/title/tt0099785,תיק מסמכים,23/11/1990,16/12/1990," בקשה לרישיון הצגת הסרט ""שכחו אותי בבית"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ei0d," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
הנועזים,The Defiant Ones,"Crime, Drama",1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068079d659,https://www.imdb.com/title/tt0051525,תיק מסמכים,03/07/1959,10/09/1959," בקשת ""מפיצי סרטים בישראל בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הנועזים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ca9p," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הנאשם,The Wrong Man,"Drama, Film-Noir",1956,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068079d33a,https://www.imdb.com/title/tt0051207,תיק מסמכים,27/01/1957,11/04/1957," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הנאשם"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ca6y," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הדירה,The Apartment,"Comedy, Drama, Romance",1960,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068078f971,https://www.imdb.com/title/tt0053604,תיק מסמכים,26/06/1960,25/09/1960," בקשת ""מפיצי סרטים בישראל."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הדירה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c4t8," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הויקינגים,The Vikings,"Action, Adventure, History",1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d2526,https://www.imdb.com/title/tt0052365,תיק מסמכים,30/07/1958,28/05/1959," בקשת ""מפיצי סרטים בישראל בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הויקנגים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cuyb," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
תחנת שידור לקריינים מתחילים,UHF,"Comedy, Sci-Fi",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680842f18,https://www.imdb.com/title/tt0098546,תיק מסמכים,13/08/1989,27/08/1989," בקשה לרישיון הצגת הסרט ""תחנת שידור לקריינים מתחילים"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י מפיצי סרטים שבעה כוכבים בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000e3hv," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
שכחו אותי בבית 3,Home Alone 3,"Action, Comedy, Crime, Family",1997,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706808e3dbd,https://www.imdb.com/title/tt0119303,תיק מסמכים,26/10/1997,15/12/1997," בקשה לרישיון הצגת הסרט "" שכחו אותי בבית 3"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ומחזות ע""י אלברט ד. מטלון ושות' בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000fv7c," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
מת לחיות,Die Hard,"Action, Thriller",1988,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680454f92,https://www.imdb.com/title/tt0095016,תיק מסמכים,10/08/1988,22/09/1988," בקשת חברת אלברט ד' מטלון ושות' בע""מ לרשיון הצגת הסרט ""מת לחיות"" (Die Hard) בישראל: טופס הבקשה, תקציר הסרט, צוות השחקנים ותצלומים, פרוטוקול ועדת המשנה של המועצה לבקורת סרטים ומחוזות, המלצתם, החלטתם וההיתר שניתן להקרנתו. ",ISA-MOIN-InteriorFilmCensor-0002vt1," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",צנזורה - כללי,צנזורה לסרטים ומחזות,,,
המלך ואני,The King and I,"Biography, Drama, Musical, Romance",1956,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081c084,https://www.imdb.com/title/tt0049408,תיק מסמכים,03/09/1956,04/11/1956," רישיוון שניתן ל""חברת פוקס"" מן המועצה לביקורת סרטים ומחזות להצגת הסרט ""המלך ואני"" בישראל: תקציר הסרט, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000do2g," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אינדיאנה ג'ונס ומסע הצלב האחרון,Indiana Jones and the Last Crusade,"Action, Adventure",1989,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068083055a,https://www.imdb.com/title/tt0097576,תיק מסמכים,11/07/1989,28/07/1989," בקשה לרישיון הצגת הסרט ""אינדיאנה ג'ונס ומסע הצלב האחרון"" בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י סרטי נח בע""מ, תקציר עלילת הסרט, צוות השחקנים וההפקה, עלון מידע על הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dw37," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
פרימן,Crying Freeman,"Action, Crime, Thriller",1995,"France, United States, Japan, Canada",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068090d434,https://www.imdb.com/title/tt0112750,תיק מסמכים,18/07/1996,30/07/1996," בקשת רשיון וקבלת היתר להצגת הסרט ""פרימן"" (CRYING FREEMAN), תקציר הסרט בעברית ובאנגלית ותמונות מהסרט. ",ISA-MOIN-InteriorFilmCensor-000gbrh," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",התפתחות הקולנוע בישראל,צנזורה לסרטים ומחזות,,,
נעדר,Missing,"Biography, Drama, History, Mystery, Thriller",1982,"United States, Mexico",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068089b41d,https://www.imdb.com/title/tt0084335,תיק מסמכים,01/04/1982,06/06/1982,missing,ISA-MOIN-InteriorFilmCensor-000f2ib," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
תותחי נברון,The Guns of Navarone,"Action, Adventure, Drama, War",1961,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081c495,https://www.imdb.com/title/tt0054953,תיק מסמכים,07/08/1961,17/08/1961," בקשת ""אלברט ד. מטלון ושות'"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""תותחי נברון"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000do60," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מרוסיה באהבה,From Russia with Love,"Action, Adventure, Thriller",1963,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081e05e,https://www.imdb.com/title/tt0057076,תיק מסמכים,08/10/1963,30/08/1964," בקשת ""יוניטד ארטיסטס קורפורישון"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מרוסיה באהבה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dout," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הפרס,The Prize,"Crime, Drama, Mystery, Thriller",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680820f6a,https://www.imdb.com/title/tt0057426,תיק מסמכים,23/01/1964,12/04/1964," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הפרס"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dq0j," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
כיצד נכבש המערב,How the West Was Won,Western,1962,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068082100d,https://www.imdb.com/title/tt0056085,תיק מסמכים,01/01/1948,30/03/1964," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""כיצד נכבש המערב"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dq16," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
המשכונאי,The Pawnbroker,Drama,1965,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a4233,https://www.imdb.com/title/tt0059575,תיק מסמכים,12/01/1966,25/03/1966," בקשת גבריאל מסרי מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""המשכונאי"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ccxd," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
טרנטולה,Tarantula,"Horror, Sci-Fi",1955,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081c032,https://www.imdb.com/title/tt0048696,תיק מסמכים,13/09/1956,03/10/1956," בקשת ""אוניברסל - אינטרנשיונל"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""טרנטולה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000do24," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
יצרים,Blow-Up,"Drama, Mystery, Thriller",1966,"United Kingdom, Italy",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680791260,https://www.imdb.com/title/tt0060176,תיק מסמכים,23/03/1967,25/05/1967," בקשת ""יצפילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""יצרים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c5f9," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
זולו,Zulu,"Drama, History, War",1964,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b59e3,https://www.imdb.com/title/tt0058777,תיק מסמכים,24/07/1964,24/07/1964," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""זולו"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cjph," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בקט,Becket,"Biography, Drama, History",1964,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807abe90,https://www.imdb.com/title/tt0057877,תיק מסמכים,26/04/1964,24/05/1965," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בקט"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cg00," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
המורד הגאה,The Proud Rebel,Western,1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d2574,https://www.imdb.com/title/tt0052097,תיק מסמכים,23/08/1958,09/09/1958," בקשת ""מטרו-גולדוין-מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""המורד הגאה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cuyj," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
עולמה של סוזי וונג,The World of Suzie Wong,"Drama, Romance",1960,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807e37bb,https://www.imdb.com/title/tt0054483,תיק מסמכים,16/01/1961,28/04/1961," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""עולמה של סוזי וונג"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d1p9," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הגנב מבגדד,The Thief of Bagdad,"Adventure, Family, Fantasy, Romance",1940,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680804f64,https://www.imdb.com/title/tt0033152,תיק מסמכים,01/06/1961,15/11/1961," בקשת ""מטרו-גולדוין-מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הגנב מבגדד"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dets," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
ליצן החצר,The Court Jester,"Adventure, Comedy, Family, Musical",1955,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f40cf,https://www.imdb.com/title/tt0049096,תיק מסמכים,28/05/1956,17/06/1956," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ליצן החצר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d88t," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
רומיאו ויוליה,Romeo and Juliet,"Drama, Romance",1954,"Italy, United Kingdom",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f3d94,https://www.imdb.com/title/tt0047029,תיק מסמכים,06/01/1956,13/08/1956," בקשת ""יאירפילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""רומיאו ויוליה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d862," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
תינוקה של רוזמרי,Rosemary's Baby,"Drama, Horror",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b95dc,https://www.imdb.com/title/tt0063522,תיק מסמכים,05/09/1968,29/09/1968," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""תינוקה של רוזמרי"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cl61," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מארני,Marnie,"Crime, Drama, Mystery, Romance, Thriller",1964,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b7561,https://www.imdb.com/title/tt0058329,תיק מסמכים,14/06/1964,09/08/1964," בקשת דוד מלאך מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מארני"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ckd6," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
המורד,Cool Hand Luke,"Crime, Drama",1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b1193,https://www.imdb.com/title/tt0061512,תיק מסמכים,29/10/1967,12/11/1967," בקשת ""וורנר ברוס- סבן ארטס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""המורד"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ci24," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
גבעת הגברים,The Hill,"Drama, War",1965,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068080707a,https://www.imdb.com/title/tt0059274,תיק מסמכים,01/01/1948,18/08/1965," בקשת ""יצפילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""גבעת הגברים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dfn5," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
דוקטור דוליטל,Doctor Dolittle,"Adventure, Comedy, Family, Fantasy, Musical, Romance",1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ce5fd,https://www.imdb.com/title/tt0061584,תיק מסמכים,29/12/1967,09/01/1968," בקשת ""טוונטיס סנטורי פוקס"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""דוקטור דוליטל"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ctea," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
